レベル,仕上表 グループ名,仕上表 グループ番号*,仕上表 整列番号,仕上表 別名(室名),名前,面積,Unnamed: 7,排煙,排煙告示,施工令,仕上表 選択*,仕上表* 内装制限 根拠,内装制限,SL,FL,CH,床,Unnamed: 18,幅木,Unnamed: 20,腰壁,壁,Unnamed: 23,廻り縁,天井,Unnamed: 26,備考
6FL,基準階,2,202,事務室,事務室,640.8071 m²,,自然,-,c,はい,c,準,-100,±0,2800,OAフロア(A),タイルカーペット(A),60,ビニル幅木(A),-,準不燃GB,EP-2,塩ビ(A),LGS,システム天井(A),
7FL,基準階,2,202,事務室,事務室,640.6176 m²,,自然,-,c,はい,c,準,-100,±0,2800,OAフロア(A),タイルカーペット(A),60,ビニル幅木(A),-,準不燃GB,EP-2,塩ビ(A),LGS,システム天井(A),
2FL,基準階,2,203,給湯室,給湯室,7.4075 m²,,告示,2,,いいえ,2,(不),-2,±0,2400,コンクリート金ごて押え,ビニル床シート(A),60,ビニル幅木(A),-,準不燃GB,EP-2,塩ビ(A),準不燃GB,化粧GB(A),
3FL,基準階,2,203,給湯室,給湯室,7.4075 m²,,告示,2,,いいえ,2,(不),-2,±0,2400,コンクリート金ごて押え,ビニル床シート(A),60,ビニル幅木(A),-,準不燃GB,EP-2,塩ビ(A),準不燃GB,化粧GB(A),
4FL,基準階,2,203,給湯室,給湯室,7.4075 m²,,告示,2,,いいえ,2,(不),-2,±0,2400,コンクリート金ごて押え,ビニル床シート(A),60,ビニル幅木(A),-,準不燃GB,EP-2,塩ビ(A),準不燃GB,化粧GB(A),
5FL,基準階,2,203,給湯室,給湯室,7.4075 m²,,告示,2,,いいえ,2,(不),-2,±0,2400,コンクリート金ごて押え,ビニル床シート(A),60,ビニル幅木(A),-,準不燃GB,EP-2,塩ビ(A),準不燃GB,化粧GB(A),
6FL,基準階,2,203,給湯室,給湯室,7.4075 m²,,告示,2,,いいえ,2,(不),-2,±0,2400,コンクリート金ごて押え,ビニル床シート(A),60,ビニル幅木(A),-,準不燃GB,EP-2,塩ビ(A),準不燃GB,化粧GB(A),
7FL,基準階,2,203,給湯室,給湯室,7.4075 m²,,告示,2,,いいえ,2,(不),-2,±0,2400,コンクリート金ごて押え,ビニル床シート(A),60,ビニル幅木(A),-,準不燃GB,EP-2,塩ビ(A),準不燃GB,化粧GB(A),
2FL,基準階,2,204,WC男,WC男,15.2325 m²,,告示,2,,いいえ,2,(不),-2,±0,2400,コンクリート金ごて押え,ビニル床シート(A),60,ビニル幅木(A),-,FK,化粧塩ビシート(A),塩ビ(A),準不燃GB,化粧GB(A),
3FL,基準階,2,204,WC男,WC男,15.2325 m²,,告示,2,,いいえ,2,(不),-2,±0,2400,コンクリート金ごて押え,ビニル床シート(A),60,ビニル幅木(A),-,FK,化粧塩ビシート(A),塩ビ(A),準不燃GB,化粧GB(A),
