ElementId,Category,Level,RoomName,RoomNumber,RoomAlias,RoomGroupName,RoomGroupNumber,AreaRaw,Area,CH,FloorFinish,WallFinish,CeilingFinish,Notes
2FL-301,Room,2FL,PS,301,PS,共通,4,1.1600 m²,1.16,直天,防塵塗装(A),素地,素地,
3FL-301,Room,3FL,PS,301,PS,共通,4,3.0500 m²,3.05,直天,防塵塗装(A),素地,素地,
3FL-301,Room,3FL,PS,301,PS,共通,4,3.1164 m²,3.1164,直天,防塵塗装(A),素地,素地,
4FL-301,Room,4FL,PS,301,PS,共通,4,3.1164 m²,3.1164,直天,防塵塗装(A),素地,素地,
4FL-301,Room,4FL,PS,301,PS,共通,4,2.1090 m²,2.109,直天,防塵塗装(A),素地,素地,
4FL-301,Room,4FL,PS,301,PS,共通,4,1.1600 m²,1.16,直天,防塵塗装(A),素地,素地,
5FL-301,Room,5FL,PS,301,PS,共通,4,3.1164 m²,3.1164,直天,防塵塗装(A),素地,素地,
5FL-301,Room,5FL,PS,301,PS,共通,4,2.1090 m²,2.109,直天,防塵塗装(A),素地,素地,
5FL-301,Room,5FL,PS,301,PS,共通,4,1.1600 m²,1.16,直天,防塵塗装(A),素地,素地,
6FL-301,Room,6FL,PS,301,PS,共通,4,3.1164 m²,3.1164,直天,防塵塗装(A),素地,素地,
6FL-301,Room,6FL,PS,301,PS,共通,4,2.1090 m²,2.109,直天,防塵塗装(A),素地,素地,
6FL-301,Room,6FL,PS,301,PS,共通,4,1.1600 m²,1.16,直天,防塵塗装(A),素地,素地,
7FL-301,Room,7FL,PS,301,PS,共通,4,3.1164 m²,3.1164,直天,防塵塗装(A),素地,素地,
7FL-301,Room,7FL,PS,301,PS,共通,4,2.1090 m²,2.109,直天,防塵塗装(A),素地,素地,
7FL-301,Room,7FL,PS,301,PS,共通,4,1.1600 m²,1.16,直天,防塵塗装(A),素地,素地,
1FL-301,Room,1FL,PS,301,PS,共通,4,4.7142 m²,4.7142,直天,防塵塗装(A),素地,素地,
1FL-301,Room,1FL,PS,301,PS,共通,4,1.0888 m²,1.0888,直天,防塵塗装(A),素地,素地,
2FL-302,Room,2FL,EPS,302,EPS,共通,4,9.1500 m²,9.15,直天,防塵塗装(A),素地,素地,
2FL-302,Room,2FL,EPS,302,EPS,共通,4,5.6100 m²,5.61,直天,防塵塗装(A),素地,素地,
2FL-302,Room,2FL,EPS,302,EPS,共通,4,2.2000 m²,2.2,直天,防塵塗装(A),素地,素地,
1FL-302,Room,1FL,EPS,302,EPS,共通,4,5.1854 m²,5.1854,直天,防塵塗装(A),素地,素地,
3FL-302,Room,3FL,EPS,302,EPS,共通,4,9.1500 m²,9.15,直天,防塵塗装(A),素地,素地,
3FL-302,Room,3FL,EPS,302,EPS,共通,4,2.2000 m²,2.2,直天,防塵塗装(A),素地,素地,
3FL-302,Room,3FL,EPS,302,EPS,共通,4,5.6100 m²,5.61,直天,防塵塗装(A),素地,素地,
4FL-302,Room,4FL,EPS,302,EPS,共通,4,9.1500 m²,9.15,直天,防塵塗装(A),素地,素地,
4FL-302,Room,4FL,EPS,302,EPS,共通,4,5.6100 m²,5.61,直天,防塵塗装(A),素地,素地,
4FL-302,Room,4FL,EPS,302,EPS,共通,4,2.2000 m²,2.2,直天,防塵塗装(A),素地,素地,
5FL-302,Room,5FL,EPS,302,EPS,共通,4,9.1500 m²,9.15,直天,防塵塗装(A),素地,素地,
5FL-302,Room,5FL,EPS,302,EPS,共通,4,5.6100 m²,5.61,直天,防塵塗装(A),素地,素地,
5FL-302,Room,5FL,EPS,302,EPS,共通,4,2.2000 m²,2.2,直天,防塵塗装(A),素地,素地,
6FL-302,Room,6FL,EPS,302,EPS,共通,4,9.1500 m²,9.15,直天,防塵塗装(A),素地,素地,
6FL-302,Room,6FL,EPS,302,EPS,共通,4,5.6100 m²,5.61,直天,防塵塗装(A),素地,素地,
6FL-302,Room,6FL,EPS,302,EPS,共通,4,2.2000 m²,2.2,直天,防塵塗装(A),素地,素地,
7FL-302,Room,7FL,EPS,302,EPS,共通,4,9.1500 m²,9.15,直天,防塵塗装(A),素地,素地,
7FL-302,Room,7FL,EPS,302,EPS,共通,4,5.6100 m²,5.61,直天,防塵塗装(A),素地,素地,
7FL-302,Room,7FL,EPS,302,EPS,共通,4,2.2000 m²,2.2,直天,防塵塗装(A),素地,素地,
