CheckId,ElementId,Category,FamilyName,TypeName,Level,ParameterName,CurrentValue,RuleId,RuleName,Severity,Status,FixGuide,DetectedAt,SourceFile,ModelName
CHK-0076,208.0,Doors,SD,PS,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0077,209.0,Doors,SD,PS,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0078,209.0,Doors,SD,PS,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0079,209.0,Doors,SD,PS,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0080,209.0,Doors,SD,PS,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0081,210.0,Doors,SD,PS,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0082,210.0,Doors,SD,PS,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0083,210.0,Doors,SD,PS,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0084,210.0,Doors,SD,PS,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0085,211.0,Doors,SD,DS,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0086,211.0,Doors,SD,DS,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0087,211.0,Doors,SD,DS,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0088,211.0,Doors,SD,DS,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
